age,sex,education,province,citizenship_status,agegroup
52.7,Female,High school diploma or a high school equivalency certificate,Quebec,By birth,50 to 65
51.1,Male,Trade certificate or diploma,Manitoba,By birth,50 to 65
63.6,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Ontario,By birth,50 to 65
80,Female,High school diploma or a high school equivalency certificate,Alberta,By birth,65 to 80
28,Male,"College, CEGEP or other non-university certificate or di...",Quebec,By birth,21 to 35
63,Female,High school diploma or a high school equivalency certificate,Quebec,By birth,50 to 65
58.8,Female,Less than high school diploma or its equivalent,Nova Scotia,By birth,50 to 65
80,Female,Less than high school diploma or its equivalent,Quebec,By birth,65 to 80
63.8,Female,High school diploma or a high school equivalency certificate,British Columbia,By birth,50 to 65
25.2,Male,Less than high school diploma or its equivalent,Saskatchewan,By birth,21 to 35
40.3,Female,University certificate or diploma below the bachelor's level,Manitoba,By birth,35 to 50
56.8,Female,High school diploma or a high school equivalency certificate,Prince Edward Island,By birth,50 to 65
26.8,Female,Trade certificate or diploma,Quebec,By birth,21 to 35
66.8,Female,High school diploma or a high school equivalency certificate,Quebec,By birth,65 to 80
68.8,Male,High school diploma or a high school equivalency certificate,Ontario,By birth,65 to 80
33.8,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",British Columbia,By birth,21 to 35
73.2,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Quebec,By birth,65 to 80
39.1,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",New Brunswick,By birth,35 to 50
64.8,Male,"University certificate, diploma or degree above the bach...",Ontario,By birth,50 to 65
49.4,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",British Columbia,By birth,35 to 50
63.5,Female,"College, CEGEP or other non-university certificate or di...",Quebec,By birth,50 to 65
78.4,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Ontario,By birth,65 to 80
30.8,Female,"University certificate, diploma or degree above the bach...",Ontario,By birth,21 to 35
40.8,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Quebec,By naturalization,35 to 50
43.9,Male,High school diploma or a high school equivalency certificate,Alberta,By naturalization,35 to 50
40.7,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Quebec,By birth,35 to 50
80,Male,Less than high school diploma or its equivalent,Manitoba,By birth,65 to 80
80,Female,High school diploma or a high school equivalency certificate,Quebec,By birth,65 to 80
71.4,Male,University certificate or diploma below the bachelor's level,Ontario,By birth,65 to 80
71.6,Male,Less than high school diploma or its equivalent,Newfoundland and Labrador,By birth,65 to 80
29.6,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",British Columbia,By naturalization,21 to 35
74.9,Female,"University certificate, diploma or degree above the bach...",Ontario,By birth,65 to 80
18.6,Male,Less than high school diploma or its equivalent,Alberta,By birth,20 or less
54.3,Male,High school diploma or a high school equivalency certificate,Ontario,By birth,50 to 65
80,Male,Less than high school diploma or its equivalent,British Columbia,By birth,65 to 80
37,Female,University certificate or diploma below the bachelor's level,Quebec,By birth,35 to 50
27.3,Female,"College, CEGEP or other non-university certificate or di...",Nova Scotia,By birth,21 to 35
68.9,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Quebec,By birth,65 to 80
53.6,Female,Less than high school diploma or its equivalent,Prince Edward Island,By birth,50 to 65
63.4,Male,High school diploma or a high school equivalency certificate,British Columbia,By birth,50 to 65
34.5,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Prince Edward Island,By birth,21 to 35
36.2,Male,Trade certificate or diploma,Quebec,By birth,35 to 50
80,Female,Less than high school diploma or its equivalent,Nova Scotia,By birth,65 to 80
69.4,Male,Less than high school diploma or its equivalent,Ontario,By birth,65 to 80
26.8,Female,High school diploma or a high school equivalency certificate,British Columbia,By birth,21 to 35
60.6,Male,"University certificate, diploma or degree above the bach...",Ontario,By naturalization,50 to 65
