sex,province,cps19_votechoice,age,agegroup,education
Female,Ontario,Liberal Party,19,20 or less,University certificate or diploma below the bachelor's level
Male,Ontario,Conservative Party,21,21 to 35,University certificate or diploma below the bachelor's level
Female,Ontario,Liberal Party,20,20 or less,University certificate or diploma below the bachelor's level
Female,Ontario,Liberal Party,21,21 to 35,University certificate or diploma below the bachelor's level
Male,Ontario,Liberal Party,19,20 or less,High school diploma or a high school equivalency certificate
Female,Ontario,Conservative Party,21,21 to 35,University certificate or diploma below the bachelor's level
Male,Ontario,Liberal Party,20,20 or less,High school diploma or a high school equivalency certificate
Female,Ontario,Liberal Party,19,20 or less,University certificate or diploma below the bachelor's level
Male,Ontario,Liberal Party,21,21 to 35,University certificate or diploma below the bachelor's level
Female,Ontario,Liberal Party,19,20 or less,High school diploma or a high school equivalency certificate
Female,Ontario,Liberal Party,19,20 or less,High school diploma or a high school equivalency certificate
Male,Ontario,Conservative Party,19,20 or less,High school diploma or a high school equivalency certificate
Male,Ontario,Liberal Party,24,21 to 35,University certificate or diploma below the bachelor's level
Female,Ontario,Liberal Party,20,20 or less,University certificate or diploma below the bachelor's level
Female,Ontario,Liberal Party,19,20 or less,High school diploma or a high school equivalency certificate
Male,Ontario,Liberal Party,20,20 or less,High school diploma or a high school equivalency certificate
Male,Ontario,Liberal Party,19,20 or less,University certificate or diploma below the bachelor's level
Female,Ontario,Liberal Party,19,20 or less,Less than high school diploma or its equivalent
Male,Ontario,Conservative Party,20,20 or less,High school diploma or a high school equivalency certificate
Female,Ontario,Liberal Party,24,21 to 35,University certificate or diploma below the bachelor's level
Male,Ontario,Liberal Party,19,20 or less,Less than high school diploma or its equivalent
Female,Ontario,Liberal Party,19,20 or less,University certificate or diploma below the bachelor's level
Male,Ontario,Liberal Party,22,21 to 35,University certificate or diploma below the bachelor's level
Male,Ontario,Conservative Party,19,20 or less,High school diploma or a high school equivalency certificate
Female,Ontario,Liberal Party,19,20 or less,University certificate or diploma below the bachelor's level
Female,Ontario,Conservative Party,21,21 to 35,High school diploma or a high school equivalency certificate
Male,Ontario,Liberal Party,21,21 to 35,University certificate or diploma below the bachelor's level
Female,Ontario,Liberal Party,19,20 or less,High school diploma or a high school equivalency certificate
Female,Ontario,Liberal Party,21,21 to 35,University certificate or diploma below the bachelor's level
Male,Ontario,Liberal Party,20,20 or less,University certificate or diploma below the bachelor's level
Male,Ontario,Liberal Party,21,21 to 35,High school diploma or a high school equivalency certificate
